,rate.type,individual.ID,term,estimate,std.error,statistic,p.value,Temp.Cat,unique.ID,Temp.C,K,Ambient_Nutrient,Species,Chamber.Channel,Run,umol.cm2.hr,log.rate,Species.ID,Organism.ID
12,Respiration,C1_AD,lnc,3.073490333,0.259871895,11.82694394,2.39E-06,42,C1_AD_42,42,315.15,Ambient,Caul,1,9,159.3848435,5.077576199,C1_D,C1
13,Respiration,C1_AD,E,1.027813867,0.322812817,3.183931412,0.012920807,16,C1_AD_16,16,289.15,Ambient,Caul,1,9,23.14460394,3.184060916,C1_D,C1
14,Respiration,C1_AD,E,1.027813867,0.322812817,3.183931412,0.012920807,20,C1_AD_20,20,293.15,Ambient,Caul,1,9,5.123297955,1.812100833,C1_D,C1
15,Respiration,C1_AD,E,1.027813867,0.322812817,3.183931412,0.012920807,22,C1_AD_22,22,295.15,Ambient,Caul,1,9,36.71469116,3.630049704,C1_D,C1
16,Respiration,C1_AD,E,1.027813867,0.322812817,3.183931412,0.012920807,24,C1_AD_24,24,297.15,Ambient,Caul,1,9,31.5096115,3.481535784,C1_D,C1
17,Respiration,C1_AD,E,1.027813867,0.322812817,3.183931412,0.012920807,26,C1_AD_26,26,299.15,Ambient,Caul,1,9,64.72066475,4.185413408,C1_D,C1
18,Respiration,C1_AD,E,1.027813867,0.322812817,3.183931412,0.012920807,28,C1_AD_28,28,301.15,Ambient,Caul,1,9,53.42528474,3.996828839,C1_D,C1
19,Respiration,C1_AD,E,1.027813867,0.322812817,3.183931412,0.012920807,30,C1_AD_30,30,303.15,Ambient,Caul,1,9,78.51938857,4.376000873,C1_D,C1
20,Respiration,C1_AD,E,1.027813867,0.322812817,3.183931412,0.012920807,32,C1_AD_32,32,305.15,Ambient,Caul,1,9,88.55401497,4.494841962,C1_D,C1
21,Respiration,C1_AD,E,1.027813867,0.322812817,3.183931412,0.012920807,34,C1_AD_34,34,307.15,Ambient,Caul,1,9,180.2810998,5.200048864,C1_D,C1
22,Respiration,C1_AD,E,1.027813867,0.322812817,3.183931412,0.012920807,36,C1_AD_36,36,309.15,Ambient,Caul,1,9,153.4786804,5.040056096,C1_D,C1
23,Respiration,C1_AD,E,1.027813867,0.322812817,3.183931412,0.012920807,39,C1_AD_39,39,312.15,Ambient,Caul,1,9,154.0765906,5.043919128,C1_D,C1
24,Respiration,C1_AD,E,1.027813867,0.322812817,3.183931412,0.012920807,42,C1_AD_42,42,315.15,Ambient,Caul,1,9,159.3848435,5.077576199,C1_D,C1
25,Respiration,C1_AD,Eh,3.35647713,6.562002959,0.511501923,0.622815241,16,C1_AD_16,16,289.15,Ambient,Caul,1,9,23.14460394,3.184060916,C1_D,C1
26,Respiration,C1_AD,Eh,3.35647713,6.562002959,0.511501923,0.622815241,20,C1_AD_20,20,293.15,Ambient,Caul,1,9,5.123297955,1.812100833,C1_D,C1
27,Respiration,C1_AD,Eh,3.35647713,6.562002959,0.511501923,0.622815241,22,C1_AD_22,22,295.15,Ambient,Caul,1,9,36.71469116,3.630049704,C1_D,C1
28,Respiration,C1_AD,Eh,3.35647713,6.562002959,0.511501923,0.622815241,24,C1_AD_24,24,297.15,Ambient,Caul,1,9,31.5096115,3.481535784,C1_D,C1
29,Respiration,C1_AD,Eh,3.35647713,6.562002959,0.511501923,0.622815241,26,C1_AD_26,26,299.15,Ambient,Caul,1,9,64.72066475,4.185413408,C1_D,C1
30,Respiration,C1_AD,Eh,3.35647713,6.562002959,0.511501923,0.622815241,28,C1_AD_28,28,301.15,Ambient,Caul,1,9,53.42528474,3.996828839,C1_D,C1
31,Respiration,C1_AD,Eh,3.35647713,6.562002959,0.511501923,0.622815241,30,C1_AD_30,30,303.15,Ambient,Caul,1,9,78.51938857,4.376000873,C1_D,C1
32,Respiration,C1_AD,Eh,3.35647713,6.562002959,0.511501923,0.622815241,32,C1_AD_32,32,305.15,Ambient,Caul,1,9,88.55401497,4.494841962,C1_D,C1
33,Respiration,C1_AD,Eh,3.35647713,6.562002959,0.511501923,0.622815241,34,C1_AD_34,34,307.15,Ambient,Caul,1,9,180.2810998,5.200048864,C1_D,C1
34,Respiration,C1_AD,Eh,3.35647713,6.562002959,0.511501923,0.622815241,36,C1_AD_36,36,309.15,Ambient,Caul,1,9,153.4786804,5.040056096,C1_D,C1
35,Respiration,C1_AD,Eh,3.35647713,6.562002959,0.511501923,0.622815241,39,C1_AD_39,39,312.15,Ambient,Caul,1,9,154.0765906,5.043919128,C1_D,C1
36,Respiration,C1_AD,Eh,3.35647713,6.562002959,0.511501923,0.622815241,42,C1_AD_42,42,315.15,Ambient,Caul,1,9,159.3848435,5.077576199,C1_D,C1
37,Respiration,C1_AD,Th,314.4091462,4.605159509,68.27323693,2.36E-12,16,C1_AD_16,16,289.15,Ambient,Caul,1,9,23.14460394,3.184060916,C1_D,C1
38,Respiration,C1_AD,Th,314.4091462,4.605159509,68.27323693,2.36E-12,20,C1_AD_20,20,293.15,Ambient,Caul,1,9,5.123297955,1.812100833,C1_D,C1
39,Respiration,C1_AD,Th,314.4091462,4.605159509,68.27323693,2.36E-12,22,C1_AD_22,22,295.15,Ambient,Caul,1,9,36.71469116,3.630049704,C1_D,C1
40,Respiration,C1_AD,Th,314.4091462,4.605159509,68.27323693,2.36E-12,24,C1_AD_24,24,297.15,Ambient,Caul,1,9,31.5096115,3.481535784,C1_D,C1
41,Respiration,C1_AD,Th,314.4091462,4.605159509,68.27323693,2.36E-12,26,C1_AD_26,26,299.15,Ambient,Caul,1,9,64.72066475,4.185413408,C1_D,C1
42,Respiration,C1_AD,Th,314.4091462,4.605159509,68.27323693,2.36E-12,28,C1_AD_28,28,301.15,Ambient,Caul,1,9,53.42528474,3.996828839,C1_D,C1
43,Respiration,C1_AD,Th,314.4091462,4.605159509,68.27323693,2.36E-12,30,C1_AD_30,30,303.15,Ambient,Caul,1,9,78.51938857,4.376000873,C1_D,C1
44,Respiration,C1_AD,Th,314.4091462,4.605159509,68.27323693,2.36E-12,32,C1_AD_32,32,305.15,Ambient,Caul,1,9,88.55401497,4.494841962,C1_D,C1
45,Respiration,C1_AD,Th,314.4091462,4.605159509,68.27323693,2.36E-12,34,C1_AD_34,34,307.15,Ambient,Caul,1,9,180.2810998,5.200048864,C1_D,C1
46,Respiration,C1_AD,Th,314.4091462,4.605159509,68.27323693,2.36E-12,36,C1_AD_36,36,309.15,Ambient,Caul,1,9,153.4786804,5.040056096,C1_D,C1
47,Respiration,C1_AD,Th,314.4091462,4.605159509,68.27323693,2.36E-12,39,C1_AD_39,39,312.15,Ambient,Caul,1,9,154.0765906,5.043919128,C1_D,C1
48,Respiration,C1_AD,Th,314.4091462,4.605159509,68.27323693,2.36E-12,42,C1_AD_42,42,315.15,Ambient,Caul,1,9,159.3848435,5.077576199,C1_D,C1
49,Net Photosynthesis,C1_AL,lnc,5.228646119,0.369572983,14.14780397,6.06E-07,16,C1_AL_16,16,289.15,Ambient,Caul,1,11,141.3252112,4.958114659,C1_L,C1
50,Net Photosynthesis,C1_AL,lnc,5.228646119,0.369572983,14.14780397,6.06E-07,20,C1_AL_20,20,293.15,Ambient,Caul,1,11,171.8215815,5.152259742,C1_L,C1
51,Net Photosynthesis,C1_AL,lnc,5.228646119,0.369572983,14.14780397,6.06E-07,22,C1_AL_22,22,295.15,Ambient,Caul,1,11,222.2341571,5.408221252,C1_L,C1
52,Net Photosynthesis,C1_AL,lnc,5.228646119,0.369572983,14.14780397,6.06E-07,24,C1_AL_24,24,297.15,Ambient,Caul,1,11,264.2763617,5.580772157,C1_L,C1
53,Net Photosynthesis,C1_AL,lnc,5.228646119,0.369572983,14.14780397,6.06E-07,26,C1_AL_26,26,299.15,Ambient,Caul,1,11,268.2818038,5.595758429,C1_L,C1
54,Net Photosynthesis,C1_AL,lnc,5.228646119,0.369572983,14.14780397,6.06E-07,28,C1_AL_28,28,301.15,Ambient,Caul,1,11,323.4429842,5.782109817,C1_L,C1
55,Net Photosynthesis,C1_AL,lnc,5.228646119,0.369572983,14.14780397,6.06E-07,30,C1_AL_30,30,303.15,Ambient,Caul,1,11,309.0724523,5.736805987,C1_L,C1
56,Net Photosynthesis,C1_AL,lnc,5.228646119,0.369572983,14.14780397,6.06E-07,32,C1_AL_32,32,305.15,Ambient,Caul,1,11,314.5497222,5.754316268,C1_L,C1
57,Net Photosynthesis,C1_AL,lnc,5.228646119,0.369572983,14.14780397,6.06E-07,34,C1_AL_34,34,307.15,Ambient,Caul,1,11,295.8480957,5.693220546,C1_L,C1
58,Net Photosynthesis,C1_AL,lnc,5.228646119,0.369572983,14.14780397,6.06E-07,36,C1_AL_36,36,309.15,Ambient,Caul,1,11,187.687193,5.24009058,C1_L,C1
59,Net Photosynthesis,C1_AL,lnc,5.228646119,0.369572983,14.14780397,6.06E-07,39,C1_AL_39,39,312.15,Ambient,Caul,1,11,1,0,C1_L,C1
60,Net Photosynthesis,C1_AL,lnc,5.228646119,0.369572983,14.14780397,6.06E-07,42,C1_AL_42,42,315.15,Ambient,Caul,1,11,1,0,C1_L,C1
61,Net Photosynthesis,C1_AL,E,0.52464586,0.431008485,1.217251813,0.258194098,16,C1_AL_16,16,289.15,Ambient,Caul,1,11,141.3252112,4.958114659,C1_L,C1
62,Net Photosynthesis,C1_AL,E,0.52464586,0.431008485,1.217251813,0.258194098,20,C1_AL_20,20,293.15,Ambient,Caul,1,11,171.8215815,5.152259742,C1_L,C1
63,Net Photosynthesis,C1_AL,E,0.52464586,0.431008485,1.217251813,0.258194098,22,C1_AL_22,22,295.15,Ambient,Caul,1,11,222.2341571,5.408221252,C1_L,C1
64,Net Photosynthesis,C1_AL,E,0.52464586,0.431008485,1.217251813,0.258194098,24,C1_AL_24,24,297.15,Ambient,Caul,1,11,264.2763617,5.580772157,C1_L,C1
65,Net Photosynthesis,C1_AL,E,0.52464586,0.431008485,1.217251813,0.258194098,26,C1_AL_26,26,299.15,Ambient,Caul,1,11,268.2818038,5.595758429,C1_L,C1
66,Net Photosynthesis,C1_AL,E,0.52464586,0.431008485,1.217251813,0.258194098,28,C1_AL_28,28,301.15,Ambient,Caul,1,11,323.4429842,5.782109817,C1_L,C1
67,Net Photosynthesis,C1_AL,E,0.52464586,0.431008485,1.217251813,0.258194098,30,C1_AL_30,30,303.15,Ambient,Caul,1,11,309.0724523,5.736805987,C1_L,C1
68,Net Photosynthesis,C1_AL,E,0.52464586,0.431008485,1.217251813,0.258194098,32,C1_AL_32,32,305.15,Ambient,Caul,1,11,314.5497222,5.754316268,C1_L,C1
69,Net Photosynthesis,C1_AL,E,0.52464586,0.431008485,1.217251813,0.258194098,34,C1_AL_34,34,307.15,Ambient,Caul,1,11,295.8480957,5.693220546,C1_L,C1
70,Net Photosynthesis,C1_AL,E,0.52464586,0.431008485,1.217251813,0.258194098,36,C1_AL_36,36,309.15,Ambient,Caul,1,11,187.687193,5.24009058,C1_L,C1
71,Net Photosynthesis,C1_AL,E,0.52464586,0.431008485,1.217251813,0.258194098,39,C1_AL_39,39,312.15,Ambient,Caul,1,11,1,0,C1_L,C1
72,Net Photosynthesis,C1_AL,E,0.52464586,0.431008485,1.217251813,0.258194098,42,C1_AL_42,42,315.15,Ambient,Caul,1,11,1,0,C1_L,C1
73,Net Photosynthesis,C1_AL,Eh,8.019652903,1.42031134,5.646404896,0.000483435,16,C1_AL_16,16,289.15,Ambient,Caul,1,11,141.3252112,4.958114659,C1_L,C1
74,Net Photosynthesis,C1_AL,Eh,8.019652903,1.42031134,5.646404896,0.000483435,20,C1_AL_20,20,293.15,Ambient,Caul,1,11,171.8215815,5.152259742,C1_L,C1
75,Net Photosynthesis,C1_AL,Eh,8.019652903,1.42031134,5.646404896,0.000483435,22,C1_AL_22,22,295.15,Ambient,Caul,1,11,222.2341571,5.408221252,C1_L,C1
76,Net Photosynthesis,C1_AL,Eh,8.019652903,1.42031134,5.646404896,0.000483435,24,C1_AL_24,24,297.15,Ambient,Caul,1,11,264.2763617,5.580772157,C1_L,C1
77,Net Photosynthesis,C1_AL,Eh,8.019652903,1.42031134,5.646404896,0.000483435,26,C1_AL_26,26,299.15,Ambient,Caul,1,11,268.2818038,5.595758429,C1_L,C1
78,Net Photosynthesis,C1_AL,Eh,8.019652903,1.42031134,5.646404896,0.000483435,28,C1_AL_28,28,301.15,Ambient,Caul,1,11,323.4429842,5.782109817,C1_L,C1
79,Net Photosynthesis,C1_AL,Eh,8.019652903,1.42031134,5.646404896,0.000483435,30,C1_AL_30,30,303.15,Ambient,Caul,1,11,309.0724523,5.736805987,C1_L,C1
80,Net Photosynthesis,C1_AL,Eh,8.019652903,1.42031134,5.646404896,0.000483435,32,C1_AL_32,32,305.15,Ambient,Caul,1,11,314.5497222,5.754316268,C1_L,C1
81,Net Photosynthesis,C1_AL,Eh,8.019652903,1.42031134,5.646404896,0.000483435,34,C1_AL_34,34,307.15,Ambient,Caul,1,11,295.8480957,5.693220546,C1_L,C1
82,Net Photosynthesis,C1_AL,Eh,8.019652903,1.42031134,5.646404896,0.000483435,36,C1_AL_36,36,309.15,Ambient,Caul,1,11,187.687193,5.24009058,C1_L,C1
83,Net Photosynthesis,C1_AL,Eh,8.019652903,1.42031134,5.646404896,0.000483435,39,C1_AL_39,39,312.15,Ambient,Caul,1,11,1,0,C1_L,C1
84,Net Photosynthesis,C1_AL,Eh,8.019652903,1.42031134,5.646404896,0.000483435,42,C1_AL_42,42,315.15,Ambient,Caul,1,11,1,0,C1_L,C1
85,Net Photosynthesis,C1_AL,Th,307.2885698,1.373201324,223.775323,1.78E-16,16,C1_AL_16,16,289.15,Ambient,Caul,1,11,141.3252112,4.958114659,C1_L,C1
86,Net Photosynthesis,C1_AL,Th,307.2885698,1.373201324,223.775323,1.78E-16,20,C1_AL_20,20,293.15,Ambient,Caul,1,11,171.8215815,5.152259742,C1_L,C1
87,Net Photosynthesis,C1_AL,Th,307.2885698,1.373201324,223.775323,1.78E-16,22,C1_AL_22,22,295.15,Ambient,Caul,1,11,222.2341571,5.408221252,C1_L,C1
88,Net Photosynthesis,C1_AL,Th,307.2885698,1.373201324,223.775323,1.78E-16,24,C1_AL_24,24,297.15,Ambient,Caul,1,11,264.2763617,5.580772157,C1_L,C1
89,Net Photosynthesis,C1_AL,Th,307.2885698,1.373201324,223.775323,1.78E-16,26,C1_AL_26,26,299.15,Ambient,Caul,1,11,268.2818038,5.595758429,C1_L,C1
90,Net Photosynthesis,C1_AL,Th,307.2885698,1.373201324,223.775323,1.78E-16,28,C1_AL_28,28,301.15,Ambient,Caul,1,11,323.4429842,5.782109817,C1_L,C1
91,Net Photosynthesis,C1_AL,Th,307.2885698,1.373201324,223.775323,1.78E-16,30,C1_AL_30,30,303.15,Ambient,Caul,1,11,309.0724523,5.736805987,C1_L,C1
92,Net Photosynthesis,C1_AL,Th,307.2885698,1.373201324,223.775323,1.78E-16,32,C1_AL_32,32,305.15,Ambient,Caul,1,11,314.5497222,5.754316268,C1_L,C1
93,Net Photosynthesis,C1_AL,Th,307.2885698,1.373201324,223.775323,1.78E-16,34,C1_AL_34,34,307.15,Ambient,Caul,1,11,295.8480957,5.693220546,C1_L,C1
94,Net Photosynthesis,C1_AL,Th,307.2885698,1.373201324,223.775323,1.78E-16,36,C1_AL_36,36,309.15,Ambient,Caul,1,11,187.687193,5.24009058,C1_L,C1
95,Net Photosynthesis,C1_AL,Th,307.2885698,1.373201324,223.775323,1.78E-16,39,C1_AL_39,39,312.15,Ambient,Caul,1,11,1,0,C1_L,C1
96,Net Photosynthesis,C1_AL,Th,307.2885698,1.373201324,223.775323,1.78E-16,42,C1_AL_42,42,315.15,Ambient,Caul,1,11,1,0,C1_L,C1
97,Respiration,C1_ND,lnc,3.463197652,0.269667745,12.84246156,1.28E-06,16,C1_ND_16,16,289.15,Nutrient,Caul,1,10,30.22610557,3.441254462,C1_D,C1
98,Respiration,C1_ND,lnc,3.463197652,0.269667745,12.84246156,1.28E-06,20,C1_ND_20,20,293.15,Nutrient,Caul,1,10,30.37795856,3.44610569,C1_D,C1
99,Respiration,C1_ND,lnc,3.463197652,0.269667745,12.84246156,1.28E-06,22,C1_ND_22,22,295.15,Nutrient,Caul,1,10,39.11502846,3.691751039,C1_D,C1
100,Respiration,C1_ND,lnc,3.463197652,0.269667745,12.84246156,1.28E-06,24,C1_ND_24,24,297.15,Nutrient,Caul,1,10,10.64164744,2.454588965,C1_D,C1
101,Respiration,C1_ND,lnc,3.463197652,0.269667745,12.84246156,1.28E-06,26,C1_ND_26,26,299.15,Nutrient,Caul,1,10,67.59393596,4.228204134,C1_D,C1
102,Respiration,C1_ND,lnc,3.463197652,0.269667745,12.84246156,1.28E-06,28,C1_ND_28,28,301.15,Nutrient,Caul,1,10,86.18655342,4.468050115,C1_D,C1
103,Respiration,C1_ND,lnc,3.463197652,0.269667745,12.84246156,1.28E-06,30,C1_ND_30,30,303.15,Nutrient,Caul,1,10,122.36262,4.815128148,C1_D,C1
104,Respiration,C1_ND,lnc,3.463197652,0.269667745,12.84246156,1.28E-06,32,C1_ND_32,32,305.15,Nutrient,Caul,1,10,97.08531287,4.585837639,C1_D,C1
105,Respiration,C1_ND,lnc,3.463197652,0.269667745,12.84246156,1.28E-06,34,C1_ND_34,34,307.15,Nutrient,Caul,1,10,84.58659247,4.449528641,C1_D,C1
106,Respiration,C1_ND,lnc,3.463197652,0.269667745,12.84246156,1.28E-06,36,C1_ND_36,36,309.15,Nutrient,Caul,1,10,76.28134057,4.347452537,C1_D,C1
107,Respiration,C1_ND,lnc,3.463197652,0.269667745,12.84246156,1.28E-06,39,C1_ND_39,39,312.15,Nutrient,Caul,1,10,193.9895971,5.272946209,C1_D,C1
108,Respiration,C1_ND,lnc,3.463197652,0.269667745,12.84246156,1.28E-06,42,C1_ND_42,42,315.15,Nutrient,Caul,1,10,1.546881794,0.934869785,C1_D,C1
109,Respiration,C1_ND,E,0.650472124,0.232122891,2.802274779,0.02311664,16,C1_ND_16,16,289.15,Nutrient,Caul,1,10,30.22610557,3.441254462,C1_D,C1
110,Respiration,C1_ND,E,0.650472124,0.232122891,2.802274779,0.02311664,20,C1_ND_20,20,293.15,Nutrient,Caul,1,10,30.37795856,3.44610569,C1_D,C1
111,Respiration,C1_ND,E,0.650472124,0.232122891,2.802274779,0.02311664,22,C1_ND_22,22,295.15,Nutrient,Caul,1,10,39.11502846,3.691751039,C1_D,C1
112,Respiration,C1_ND,E,0.650472124,0.232122891,2.802274779,0.02311664,24,C1_ND_24,24,297.15,Nutrient,Caul,1,10,10.64164744,2.454588965,C1_D,C1
113,Respiration,C1_ND,E,0.650472124,0.232122891,2.802274779,0.02311664,26,C1_ND_26,26,299.15,Nutrient,Caul,1,10,67.59393596,4.228204134,C1_D,C1
114,Respiration,C1_ND,E,0.650472124,0.232122891,2.802274779,0.02311664,28,C1_ND_28,28,301.15,Nutrient,Caul,1,10,86.18655342,4.468050115,C1_D,C1
115,Respiration,C1_ND,E,0.650472124,0.232122891,2.802274779,0.02311664,30,C1_ND_30,30,303.15,Nutrient,Caul,1,10,122.36262,4.815128148,C1_D,C1
116,Respiration,C1_ND,E,0.650472124,0.232122891,2.802274779,0.02311664,32,C1_ND_32,32,305.15,Nutrient,Caul,1,10,97.08531287,4.585837639,C1_D,C1
117,Respiration,C1_ND,E,0.650472124,0.232122891,2.802274779,0.02311664,34,C1_ND_34,34,307.15,Nutrient,Caul,1,10,84.58659247,4.449528641,C1_D,C1
118,Respiration,C1_ND,E,0.650472124,0.232122891,2.802274779,0.02311664,36,C1_ND_36,36,309.15,Nutrient,Caul,1,10,76.28134057,4.347452537,C1_D,C1
119,Respiration,C1_ND,E,0.650472124,0.232122891,2.802274779,0.02311664,39,C1_ND_39,39,312.15,Nutrient,Caul,1,10,193.9895971,5.272946209,C1_D,C1
120,Respiration,C1_ND,E,0.650472124,0.232122891,2.802274779,0.02311664,42,C1_ND_42,42,315.15,Nutrient,Caul,1,10,1.546881794,0.934869785,C1_D,C1
121,Respiration,C1_ND,Eh,61.70246633,83127111.12,7.42E-07,0.999999426,16,C1_ND_16,16,289.15,Nutrient,Caul,1,10,30.22610557,3.441254462,C1_D,C1
122,Respiration,C1_ND,Eh,61.70246633,83127111.12,7.42E-07,0.999999426,20,C1_ND_20,20,293.15,Nutrient,Caul,1,10,30.37795856,3.44610569,C1_D,C1
123,Respiration,C1_ND,Eh,61.70246633,83127111.12,7.42E-07,0.999999426,22,C1_ND_22,22,295.15,Nutrient,Caul,1,10,39.11502846,3.691751039,C1_D,C1
124,Respiration,C1_ND,Eh,61.70246633,83127111.12,7.42E-07,0.999999426,24,C1_ND_24,24,297.15,Nutrient,Caul,1,10,10.64164744,2.454588965,C1_D,C1
125,Respiration,C1_ND,Eh,61.70246633,83127111.12,7.42E-07,0.999999426,26,C1_ND_26,26,299.15,Nutrient,Caul,1,10,67.59393596,4.228204134,C1_D,C1
126,Respiration,C1_ND,Eh,61.70246633,83127111.12,7.42E-07,0.999999426,28,C1_ND_28,28,301.15,Nutrient,Caul,1,10,86.18655342,4.468050115,C1_D,C1
127,Respiration,C1_ND,Eh,61.70246633,83127111.12,7.42E-07,0.999999426,30,C1_ND_30,30,303.15,Nutrient,Caul,1,10,122.36262,4.815128148,C1_D,C1
128,Respiration,C1_ND,Eh,61.70246633,83127111.12,7.42E-07,0.999999426,32,C1_ND_32,32,305.15,Nutrient,Caul,1,10,97.08531287,4.585837639,C1_D,C1
129,Respiration,C1_ND,Eh,61.70246633,83127111.12,7.42E-07,0.999999426,34,C1_ND_34,34,307.15,Nutrient,Caul,1,10,84.58659247,4.449528641,C1_D,C1
130,Respiration,C1_ND,Eh,61.70246633,83127111.12,7.42E-07,0.999999426,36,C1_ND_36,36,309.15,Nutrient,Caul,1,10,76.28134057,4.347452537,C1_D,C1
131,Respiration,C1_ND,Eh,61.70246633,83127111.12,7.42E-07,0.999999426,39,C1_ND_39,39,312.15,Nutrient,Caul,1,10,193.9895971,5.272946209,C1_D,C1
132,Respiration,C1_ND,Eh,61.70246633,83127111.12,7.42E-07,0.999999426,42,C1_ND_42,42,315.15,Nutrient,Caul,1,10,1.546881794,0.934869785,C1_D,C1
133,Respiration,C1_ND,Th,314.5553011,799681.6474,0.000393351,0.999695783,16,C1_ND_16,16,289.15,Nutrient,Caul,1,10,30.22610557,3.441254462,C1_D,C1
134,Respiration,C1_ND,Th,314.5553011,799681.6474,0.000393351,0.999695783,20,C1_ND_20,20,293.15,Nutrient,Caul,1,10,30.37795856,3.44610569,C1_D,C1
135,Respiration,C1_ND,Th,314.5553011,799681.6474,0.000393351,0.999695783,22,C1_ND_22,22,295.15,Nutrient,Caul,1,10,39.11502846,3.691751039,C1_D,C1
136,Respiration,C1_ND,Th,314.5553011,799681.6474,0.000393351,0.999695783,24,C1_ND_24,24,297.15,Nutrient,Caul,1,10,10.64164744,2.454588965,C1_D,C1
137,Respiration,C1_ND,Th,314.5553011,799681.6474,0.000393351,0.999695783,26,C1_ND_26,26,299.15,Nutrient,Caul,1,10,67.59393596,4.228204134,C1_D,C1
138,Respiration,C1_ND,Th,314.5553011,799681.6474,0.000393351,0.999695783,28,C1_ND_28,28,301.15,Nutrient,Caul,1,10,86.18655342,4.468050115,C1_D,C1
139,Respiration,C1_ND,Th,314.5553011,799681.6474,0.000393351,0.999695783,30,C1_ND_30,30,303.15,Nutrient,Caul,1,10,122.36262,4.815128148,C1_D,C1
140,Respiration,C1_ND,Th,314.5553011,799681.6474,0.000393351,0.999695783,32,C1_ND_32,32,305.15,Nutrient,Caul,1,10,97.08531287,4.585837639,C1_D,C1
141,Respiration,C1_ND,Th,314.5553011,799681.6474,0.000393351,0.999695783,34,C1_ND_34,34,307.15,Nutrient,Caul,1,10,84.58659247,4.449528641,C1_D,C1
142,Respiration,C1_ND,Th,314.5553011,799681.6474,0.000393351,0.999695783,36,C1_ND_36,36,309.15,Nutrient,Caul,1,10,76.28134057,4.347452537,C1_D,C1
143,Respiration,C1_ND,Th,314.5553011,799681.6474,0.000393351,0.999695783,39,C1_ND_39,39,312.15,Nutrient,Caul,1,10,193.9895971,5.272946209,C1_D,C1
144,Respiration,C1_ND,Th,314.5553011,799681.6474,0.000393351,0.999695783,42,C1_ND_42,42,315.15,Nutrient,Caul,1,10,1.546881794,0.934869785,C1_D,C1
145,Net Photosynthesis,C1_NL,lnc,4.771576376,0.329659047,14.47427704,5.08E-07,16,C1_NL_16,16,289.15,Nutrient,Caul,1,12,81.68895191,4.415086001,C1_L,C1
146,Net Photosynthesis,C1_NL,lnc,4.771576376,0.329659047,14.47427704,5.08E-07,20,C1_NL_20,20,293.15,Nutrient,Caul,1,12,107.728534,4.688854262,C1_L,C1
147,Net Photosynthesis,C1_NL,lnc,4.771576376,0.329659047,14.47427704,5.08E-07,22,C1_NL_22,22,295.15,Nutrient,Caul,1,12,140.0501464,4.949115475,C1_L,C1
148,Net Photosynthesis,C1_NL,lnc,4.771576376,0.329659047,14.47427704,5.08E-07,24,C1_NL_24,24,297.15,Nutrient,Caul,1,12,164.94415,5.111651286,C1_L,C1
149,Net Photosynthesis,C1_NL,lnc,4.771576376,0.329659047,14.47427704,5.08E-07,26,C1_NL_26,26,299.15,Nutrient,Caul,1,12,245.5541837,5.507581781,C1_L,C1
150,Net Photosynthesis,C1_NL,lnc,4.771576376,0.329659047,14.47427704,5.08E-07,28,C1_NL_28,28,301.15,Nutrient,Caul,1,12,208.7275675,5.345809391,C1_L,C1
