,Temp.Cat,unique.ID,Temp.C,K,Ambient_Nutrient,Species,Chamber.Channel,Run,umol.cm2.hr,log.rate,rate.type,Condition,individual.ID,Species.ID,Organism.ID
890,24,C10_ND_24,24,297.15,Nutrient,Caul,10,10,33.66837409,3.545827862,Respiration,RespirationNutrient,C10_ND,C10_D,C10
891,26,C10_ND_26,26,299.15,Nutrient,Caul,10,10,47.04551486,3.872148788,Respiration,RespirationNutrient,C10_ND,C10_D,C10
892,28,C10_ND_28,28,301.15,Nutrient,Caul,10,10,74.42356361,4.323119741,Respiration,RespirationNutrient,C10_ND,C10_D,C10
893,30,C10_ND_30,30,303.15,Nutrient,Caul,10,10,108.4998211,4.695922915,Respiration,RespirationNutrient,C10_ND,C10_D,C10
894,32,C10_ND_32,32,305.15,Nutrient,Caul,10,10,92.28670477,4.535677598,Respiration,RespirationNutrient,C10_ND,C10_D,C10
895,34,C10_ND_34,34,307.15,Nutrient,Caul,10,10,2.748519885,1.321361065,Respiration,RespirationNutrient,C10_ND,C10_D,C10
896,36,C10_ND_36,36,309.15,Nutrient,Caul,10,10,24.52088798,3.239497253,Respiration,RespirationNutrient,C10_ND,C10_D,C10
897,39,C10_ND_39,39,312.15,Nutrient,Caul,10,10,26.45254892,3.31245902,Respiration,RespirationNutrient,C10_ND,C10_D,C10
898,42,C10_ND_42,42,315.15,Nutrient,Caul,10,10,185.4266934,5.228038097,Respiration,RespirationNutrient,C10_ND,C10_D,C10
899,16,C2_AD_16,16,289.15,Ambient,Caul,2,9,23.92385082,3.215825209,Respiration,RespirationAmbient,C2_AD,C2_D,C2
900,20,C2_AD_20,20,293.15,Ambient,Caul,2,9,10.56152607,2.447682868,Respiration,RespirationAmbient,C2_AD,C2_D,C2
901,22,C2_AD_22,22,295.15,Ambient,Caul,2,9,21.31224147,3.105135473,Respiration,RespirationAmbient,C2_AD,C2_D,C2
902,24,C2_AD_24,24,297.15,Ambient,Caul,2,9,36.93576392,3.635894306,Respiration,RespirationAmbient,C2_AD,C2_D,C2
903,26,C2_AD_26,26,299.15,Ambient,Caul,2,9,43.97016674,3.805999309,Respiration,RespirationAmbient,C2_AD,C2_D,C2
904,28,C2_AD_28,28,301.15,Ambient,Caul,2,9,52.91951171,3.987492411,Respiration,RespirationAmbient,C2_AD,C2_D,C2
905,30,C2_AD_30,30,303.15,Ambient,Caul,2,9,48.49969014,3.90196641,Respiration,RespirationAmbient,C2_AD,C2_D,C2
906,32,C2_AD_32,32,305.15,Ambient,Caul,2,9,26.88753126,3.328179681,Respiration,RespirationAmbient,C2_AD,C2_D,C2
907,34,C2_AD_34,34,307.15,Ambient,Caul,2,9,87.88915666,4.487390163,Respiration,RespirationAmbient,C2_AD,C2_D,C2
908,36,C2_AD_36,36,309.15,Ambient,Caul,2,9,102.7169506,4.64166556,Respiration,RespirationAmbient,C2_AD,C2_D,C2
909,39,C2_AD_39,39,312.15,Ambient,Caul,2,9,148.879012,5.009828382,Respiration,RespirationAmbient,C2_AD,C2_D,C2
910,42,C2_AD_42,42,315.15,Ambient,Caul,2,9,122.6056892,4.817096573,Respiration,RespirationAmbient,C2_AD,C2_D,C2
911,16,C2_ND_16,16,289.15,Nutrient,Caul,2,10,57.17728798,4.063495038,Respiration,RespirationNutrient,C2_ND,C2_D,C2
912,20,C2_ND_20,20,293.15,Nutrient,Caul,2,10,54.05070417,4.008254655,Respiration,RespirationNutrient,C2_ND,C2_D,C2
913,22,C2_ND_22,22,295.15,Nutrient,Caul,2,10,44.43779702,3.816344292,Respiration,RespirationNutrient,C2_ND,C2_D,C2
914,24,C2_ND_24,24,297.15,Nutrient,Caul,2,10,20.03536022,3.046204842,Respiration,RespirationNutrient,C2_ND,C2_D,C2
915,26,C2_ND_26,26,299.15,Nutrient,Caul,2,10,107.9026125,4.69045402,Respiration,RespirationNutrient,C2_ND,C2_D,C2
916,28,C2_ND_28,28,301.15,Nutrient,Caul,2,10,53.00312594,3.989041933,Respiration,RespirationNutrient,C2_ND,C2_D,C2
917,30,C2_ND_30,30,303.15,Nutrient,Caul,2,10,162.146747,5.094650084,Respiration,RespirationNutrient,C2_ND,C2_D,C2
918,32,C2_ND_32,32,305.15,Nutrient,Caul,2,10,85.35717704,4.458491917,Respiration,RespirationNutrient,C2_ND,C2_D,C2
919,34,C2_ND_34,34,307.15,Nutrient,Caul,2,10,93.04708891,4.543795603,Respiration,RespirationNutrient,C2_ND,C2_D,C2
920,36,C2_ND_36,36,309.15,Nutrient,Caul,2,10,42.62557547,3.775643572,Respiration,RespirationNutrient,C2_ND,C2_D,C2
921,39,C2_ND_39,39,312.15,Nutrient,Caul,2,10,267.0924575,5.591331912,Respiration,RespirationNutrient,C2_ND,C2_D,C2
922,42,C2_ND_42,42,315.15,Nutrient,Caul,2,10,98.41019274,4.599254651,Respiration,RespirationNutrient,C2_ND,C2_D,C2
37,16,C2_NL_16,16,289.15,Nutrient,Caul,2,12,97.30734781,4.588098773,Net Photosynthesis,Net PhotosynthesisNutrient,C2_NL,C2_L,C2
38,20,C2_NL_20,20,293.15,Nutrient,Caul,2,12,108.234844,4.693500097,Net Photosynthesis,Net PhotosynthesisNutrient,C2_NL,C2_L,C2
39,22,C2_NL_22,22,295.15,Nutrient,Caul,2,12,147.0280753,4.997401954,Net Photosynthesis,Net PhotosynthesisNutrient,C2_NL,C2_L,C2
40,24,C2_NL_24,24,297.15,Nutrient,Caul,2,12,157.8604438,5.068026105,Net Photosynthesis,Net PhotosynthesisNutrient,C2_NL,C2_L,C2
41,26,C2_NL_26,26,299.15,Nutrient,Caul,2,12,180.1924743,5.19955986,Net Photosynthesis,Net PhotosynthesisNutrient,C2_NL,C2_L,C2
42,28,C2_NL_28,28,301.15,Nutrient,Caul,2,12,163.2544903,5.101416995,Net Photosynthesis,Net PhotosynthesisNutrient,C2_NL,C2_L,C2
43,30,C2_NL_30,30,303.15,Nutrient,Caul,2,12,204.5446941,5.3256635,Net Photosynthesis,Net PhotosynthesisNutrient,C2_NL,C2_L,C2
44,32,C2_NL_32,32,305.15,Nutrient,Caul,2,12,181.5799434,5.207188123,Net Photosynthesis,Net PhotosynthesisNutrient,C2_NL,C2_L,C2
45,34,C2_NL_34,34,307.15,Nutrient,Caul,2,12,135.8502007,4.918886902,Net Photosynthesis,Net PhotosynthesisNutrient,C2_NL,C2_L,C2
46,36,C2_NL_36,36,309.15,Nutrient,Caul,2,12,60.14906492,4.11331457,Net Photosynthesis,Net PhotosynthesisNutrient,C2_NL,C2_L,C2
47,39,C2_NL_39,39,312.15,Nutrient,Caul,2,12,-163.3137373,0.000001,Net Photosynthesis,Net PhotosynthesisNutrient,C2_NL,C2_L,C2
48,42,C2_NL_42,42,315.15,Nutrient,Caul,2,12,17.99940143,2.944407475,Net Photosynthesis,Net PhotosynthesisNutrient,C2_NL,C2_L,C2
923,16,C3_AD_16,16,289.15,Ambient,Caul,3,9,24.03663948,3.220340331,Respiration,RespirationAmbient,C3_AD,C3_D,C3
924,20,C3_AD_20,20,293.15,Ambient,Caul,3,9,24.80465537,3.250554916,Respiration,RespirationAmbient,C3_AD,C3_D,C3
925,22,C3_AD_22,22,295.15,Ambient,Caul,3,9,30.09143132,3.436932261,Respiration,RespirationAmbient,C3_AD,C3_D,C3
926,24,C3_AD_24,24,297.15,Ambient,Caul,3,9,32.76907553,3.519545459,Respiration,RespirationAmbient,C3_AD,C3_D,C3
927,26,C3_AD_26,26,299.15,Ambient,Caul,3,9,58.35416665,4.083522323,Respiration,RespirationAmbient,C3_AD,C3_D,C3
928,28,C3_AD_28,28,301.15,Ambient,Caul,3,9,68.51514808,4.241544687,Respiration,RespirationAmbient,C3_AD,C3_D,C3
929,30,C3_AD_30,30,303.15,Ambient,Caul,3,9,43.39429879,3.793111056,Respiration,RespirationAmbient,C3_AD,C3_D,C3
930,32,C3_AD_32,32,305.15,Ambient,Caul,3,9,44.94546853,3.827455227,Respiration,RespirationAmbient,C3_AD,C3_D,C3
931,34,C3_AD_34,34,307.15,Ambient,Caul,3,9,94.68886946,4.561101985,Respiration,RespirationAmbient,C3_AD,C3_D,C3
932,36,C3_AD_36,36,309.15,Ambient,Caul,3,9,70.68514919,4.272283602,Respiration,RespirationAmbient,C3_AD,C3_D,C3
933,39,C3_AD_39,39,312.15,Ambient,Caul,3,9,89.51160606,4.505478086,Respiration,RespirationAmbient,C3_AD,C3_D,C3
934,42,C3_AD_42,42,315.15,Ambient,Caul,3,9,87.19933746,4.479599451,Respiration,RespirationAmbient,C3_AD,C3_D,C3
49,16,C3_AL_16,16,289.15,Ambient,Caul,3,11,80.50671465,4.400685405,Net Photosynthesis,Net PhotosynthesisAmbient,C3_AL,C3_L,C3
50,20,C3_AL_20,20,293.15,Ambient,Caul,3,11,84.94100981,4.453661128,Net Photosynthesis,Net PhotosynthesisAmbient,C3_AL,C3_L,C3
51,22,C3_AL_22,22,295.15,Ambient,Caul,3,11,101.694505,4.63175861,Net Photosynthesis,Net PhotosynthesisAmbient,C3_AL,C3_L,C3
52,24,C3_AL_24,24,297.15,Ambient,Caul,3,11,132.402061,4.893367583,Net Photosynthesis,Net PhotosynthesisAmbient,C3_AL,C3_L,C3
53,26,C3_AL_26,26,299.15,Ambient,Caul,3,11,154.6912552,5.047874913,Net Photosynthesis,Net PhotosynthesisAmbient,C3_AL,C3_L,C3
54,28,C3_AL_28,28,301.15,Ambient,Caul,3,11,177.919959,5.186938549,Net Photosynthesis,Net PhotosynthesisAmbient,C3_AL,C3_L,C3
55,30,C3_AL_30,30,303.15,Ambient,Caul,3,11,156.964034,5.062367374,Net Photosynthesis,Net PhotosynthesisAmbient,C3_AL,C3_L,C3
56,32,C3_AL_32,32,305.15,Ambient,Caul,3,11,174.4992513,5.167634777,Net Photosynthesis,Net PhotosynthesisAmbient,C3_AL,C3_L,C3
57,34,C3_AL_34,34,307.15,Ambient,Caul,3,11,133.3734713,4.900623022,Net Photosynthesis,Net PhotosynthesisAmbient,C3_AL,C3_L,C3
58,36,C3_AL_36,36,309.15,Ambient,Caul,3,11,95.4905662,4.569445244,Net Photosynthesis,Net PhotosynthesisAmbient,C3_AL,C3_L,C3
59,39,C3_AL_39,39,312.15,Ambient,Caul,3,11,-38.11408694,0.000001,Net Photosynthesis,Net PhotosynthesisAmbient,C3_AL,C3_L,C3
60,42,C3_AL_42,42,315.15,Ambient,Caul,3,11,-29.25421302,0.000001,Net Photosynthesis,Net PhotosynthesisAmbient,C3_AL,C3_L,C3
935,16,C3_ND_16,16,289.15,Nutrient,Caul,3,10,37.04498144,3.638769182,Respiration,RespirationNutrient,C3_ND,C3_D,C3
936,20,C3_ND_20,20,293.15,Nutrient,Caul,3,10,42.22232891,3.766357235,Respiration,RespirationNutrient,C3_ND,C3_D,C3
937,22,C3_ND_22,22,295.15,Nutrient,Caul,3,10,31.74851296,3.488857555,Respiration,RespirationNutrient,C3_ND,C3_D,C3
938,24,C3_ND_24,24,297.15,Nutrient,Caul,3,10,6.094949356,1.959383173,Respiration,RespirationNutrient,C3_ND,C3_D,C3
939,26,C3_ND_26,26,299.15,Nutrient,Caul,3,10,41.80784122,3.756721292,Respiration,RespirationNutrient,C3_ND,C3_D,C3
940,28,C3_ND_28,28,301.15,Nutrient,Caul,3,10,61.38971138,4.13340038,Respiration,RespirationNutrient,C3_ND,C3_D,C3
941,30,C3_ND_30,30,303.15,Nutrient,Caul,3,10,90.42136054,4.515479155,Respiration,RespirationNutrient,C3_ND,C3_D,C3
942,32,C3_ND_32,32,305.15,Nutrient,Caul,3,10,6.348099804,1.99444175,Respiration,RespirationNutrient,C3_ND,C3_D,C3
943,34,C3_ND_34,34,307.15,Nutrient,Caul,3,10,46.5117491,3.86097703,Respiration,RespirationNutrient,C3_ND,C3_D,C3
944,36,C3_ND_36,36,309.15,Nutrient,Caul,3,10,1.396543692,0.874027571,Respiration,RespirationNutrient,C3_ND,C3_D,C3
945,39,C3_ND_39,39,312.15,Nutrient,Caul,3,10,150.9048817,5.023254547,Respiration,RespirationNutrient,C3_ND,C3_D,C3
946,42,C3_ND_42,42,315.15,Nutrient,Caul,3,10,66.70209205,4.215117081,Respiration,RespirationNutrient,C3_ND,C3_D,C3
61,16,C3_NL_16,16,289.15,Nutrient,Caul,3,12,88.92324526,4.498956476,Net Photosynthesis,Net PhotosynthesisNutrient,C3_NL,C3_L,C3
62,20,C3_NL_20,20,293.15,Nutrient,Caul,3,12,120.5622947,4.800426845,Net Photosynthesis,Net PhotosynthesisNutrient,C3_NL,C3_L,C3
63,22,C3_NL_22,22,295.15,Nutrient,Caul,3,12,170.1922936,5.142787449,Net Photosynthesis,Net PhotosynthesisNutrient,C3_NL,C3_L,C3
64,24,C3_NL_24,24,297.15,Nutrient,Caul,3,12,163.1866726,5.101004028,Net Photosynthesis,Net PhotosynthesisNutrient,C3_NL,C3_L,C3
65,26,C3_NL_26,26,299.15,Nutrient,Caul,3,12,190.6136223,5.255480961,Net Photosynthesis,Net PhotosynthesisNutrient,C3_NL,C3_L,C3
66,28,C3_NL_28,28,301.15,Nutrient,Caul,3,12,214.0419028,5.370832906,Net Photosynthesis,Net PhotosynthesisNutrient,C3_NL,C3_L,C3
67,30,C3_NL_30,30,303.15,Nutrient,Caul,3,12,269.2551971,5.599366687,Net Photosynthesis,Net PhotosynthesisNutrient,C3_NL,C3_L,C3
68,32,C3_NL_32,32,305.15,Nutrient,Caul,3,12,289.0118461,5.669921771,Net Photosynthesis,Net PhotosynthesisNutrient,C3_NL,C3_L,C3
69,34,C3_NL_34,34,307.15,Nutrient,Caul,3,12,230.4050275,5.444169541,Net Photosynthesis,Net PhotosynthesisNutrient,C3_NL,C3_L,C3
70,36,C3_NL_36,36,309.15,Nutrient,Caul,3,12,64.19940277,4.177450309,Net Photosynthesis,Net PhotosynthesisNutrient,C3_NL,C3_L,C3
71,39,C3_NL_39,39,312.15,Nutrient,Caul,3,12,-187.664881,0.000001,Net Photosynthesis,Net PhotosynthesisNutrient,C3_NL,C3_L,C3
72,42,C3_NL_42,42,315.15,Nutrient,Caul,3,12,-27.62649857,0.000001,Net Photosynthesis,Net PhotosynthesisNutrient,C3_NL,C3_L,C3
73,16,C4_AL_16,16,289.15,Ambient,Caul,4,11,195.7565776,5.281967318,Net Photosynthesis,Net PhotosynthesisAmbient,C4_AL,C4_L,C4
74,20,C4_AL_20,20,293.15,Ambient,Caul,4,11,186.3869161,5.233175549,Net Photosynthesis,Net PhotosynthesisAmbient,C4_AL,C4_L,C4
75,22,C4_AL_22,22,295.15,Ambient,Caul,4,11,203.1416199,5.318813968,Net Photosynthesis,Net PhotosynthesisAmbient,C4_AL,C4_L,C4
76,24,C4_AL_24,24,297.15,Ambient,Caul,4,11,236.9287663,5.471971328,Net Photosynthesis,Net PhotosynthesisAmbient,C4_AL,C4_L,C4
77,26,C4_AL_26,26,299.15,Ambient,Caul,4,11,270.9607067,5.605657595,Net Photosynthesis,Net PhotosynthesisAmbient,C4_AL,C4_L,C4
78,28,C4_AL_28,28,301.15,Ambient,Caul,4,11,419.5650621,6.041599193,Net Photosynthesis,Net PhotosynthesisAmbient,C4_AL,C4_L,C4
79,30,C4_AL_30,30,303.15,Ambient,Caul,4,11,396.7932792,5.985932471,Net Photosynthesis,Net PhotosynthesisAmbient,C4_AL,C4_L,C4
80,32,C4_AL_32,32,305.15,Ambient,Caul,4,11,358.4343922,5.884531663,Net Photosynthesis,Net PhotosynthesisAmbient,C4_AL,C4_L,C4
81,34,C4_AL_34,34,307.15,Ambient,Caul,4,11,331.8504066,5.80769316,Net Photosynthesis,Net PhotosynthesisAmbient,C4_AL,C4_L,C4
82,36,C4_AL_36,36,309.15,Ambient,Caul,4,11,307.5395893,5.731850163,Net Photosynthesis,Net PhotosynthesisAmbient,C4_AL,C4_L,C4
83,39,C4_AL_39,39,312.15,Ambient,Caul,4,11,-1.824027775,0.000001,Net Photosynthesis,Net PhotosynthesisAmbient,C4_AL,C4_L,C4
84,42,C4_AL_42,42,315.15,Ambient,Caul,4,11,125.0412222,4.836609014,Net Photosynthesis,Net PhotosynthesisAmbient,C4_AL,C4_L,C4
