"","X","ID","Intercept","umol.L.sec","Temp.C","Date","Chamber.Channel","Run","Species","Temp.Cat","Start.time","Stop.Time","Ambient_Nutrient","Light_Dark","Organism.ID","Dry.weight","Blank","Volume","umol.sec"
"11",11,"C1_AD_39C",178.66936043956,-0.0166296703296702,38.887,"6/21/22",1,9,"Caul",39,2023-02-25 20:23:18,2023-02-25 20:27:42,"Ambient","Dark","C1_AD",0.084,"0",0.643,-0.0106928780219779
"12",12,"C1_AD_42C",145.941323847167,-0.0171262187088274,42.0138518518519,"6/21/22",1,9,"Caul",42,2023-02-25 21:20:01,2023-02-25 21:26:56,"Ambient","Dark","C1_AD",0.084,"0",0.643,-0.011012158629776
"13",13,"C1_AL_16C",243.741274463482,0.00552952925856444,16.2284929577465,"6/23/22",1,11,"Caul",16,2023-02-25 16:22:37,2023-02-25 16:40:36,"Ambient","Light","C1_AL",0.112,"0",0.666,0.00368266648620392
"14",14,"C1_AL_20C",254.169796638655,0.00691932773109259,20.0970980392157,"6/23/22",1,11,"Caul",20,2023-02-25 17:11:42,2023-02-25 17:24:39,"Ambient","Light","C1_AL",0.112,"0",0.666,0.00460827226890767
"15",15,"C1_AL_22C",249.693224608934,0.00888013223673596,21.8790862068966,"6/23/22",1,11,"Caul",22,2023-02-25 17:43:31,2023-02-25 17:58:13,"Ambient","Light","C1_AL",0.112,"0",0.666,0.00591416806966615
"16",16,"C1_AL_24C",247.019400036474,0.0102818762081919,23.9040980392157,"6/23/22",1,11,"Caul",24,2023-02-25 18:17:49,2023-02-25 18:30:56,"Ambient","Light","C1_AL",0.112,"0",0.666,0.00684772955465581
"17",17,"C1_AL_26C",242.728315401115,0.00933539253539271,25.8271,"6/23/22",1,11,"Caul",26,2023-02-25 18:47:55,2023-02-25 19:00:46,"Ambient","Light","C1_AL",0.112,"0",0.666,0.00621737142857155
"18",18,"C1_AL_28C",238.811740550469,0.0108639386327418,27.9330416666667,"6/23/22",1,11,"Caul",28,2023-02-25 19:24:57,2023-02-25 19:37:16,"Ambient","Light","C1_AL",0.112,"0",0.666,0.00723538312940604
"19",19,"C1_AL_30C",224.341231984295,0.00999815765629732,29.94994,"6/23/22",1,11,"Caul",30,2023-02-25 20:00:29,2023-02-25 20:13:24,"Ambient","Light","C1_AL",0.112,"0",0.666,0.00665877299909402
"20",20,"C1_AL_32C",223.977146153846,0.00954615384615369,31.6502142857143,"6/23/22",1,11,"Caul",32,2023-02-25 20:40:33,2023-02-25 20:44:11,"Ambient","Light","C1_AL",0.112,"0",0.666,0.00635773846153836
"21",21,"C1_AL_34C",208.752760512821,0.00774717948717946,33.7526571428571,"6/23/22",1,11,"Caul",34,2023-02-25 21:10:28,2023-02-25 21:19:23,"Ambient","Light","C1_AL",0.112,"0",0.666,0.00515962153846152
"22",22,"C1_AL_36C",189.699944729689,-5.37601932949924e-05,35.9410172413793,"6/23/22",1,11,"Caul",36,2023-02-25 21:38:03,2023-02-25 21:52:35,"Ambient","Light","C1_AL",0.112,"0",0.666,-3.58042887344649e-05
"23",23,"C1_AL_39C",167.455130909091,-0.00990363636363635,38.7430769230769,"6/23/22",1,11,"Caul",39,2023-02-25 22:25:09,2023-02-25 22:28:40,"Ambient","Light","C1_AL",0.112,"0",0.666,-0.00659582181818181
"24",24,"C1_AL_42C",136.807002380952,-0.0107880952380949,41.7569,"6/23/22",1,11,"Caul",42,2023-02-25 23:03:29,2023-02-25 23:06:03,"Ambient","Light","C1_AL",0.112,"0",0.666,-0.0071848714285712
"25",25,"C1_ND_16C",288.918784606972,-0.00171881749829129,16.048625,"6/22/22",1,10,"Caul",16,2023-02-25 08:58:39,2023-02-25 09:12:41,"Nutrient","Dark","C1_ND",0.09,"0",0.63,-0.00108285502392351
"26",26,"C1_ND_20C",277.761248431716,-0.00259822715760763,19.8877258064516,"6/22/22",1,10,"Caul",20,2023-02-25 09:55:33,2023-02-25 10:11:09,"Nutrient","Dark","C1_ND",0.09,"0",0.63,-0.00163688310929281
"27",27,"C1_ND_22C",268.52897920444,-0.00383470860314521,21.9024736842105,"6/22/22",1,10,"Caul",22,2023-02-25 10:30:46,2023-02-25 10:45:16,"Nutrient","Dark","C1_ND",0.09,"0",0.63,-0.00241586641998148
"28",28,"C1_ND_24C",263.423247186761,-0.004213637578374,23.9017916666667,"6/22/22",1,10,"Caul",24,2023-02-25 11:04:35,2023-02-25 11:16:48,"Nutrient","Dark","C1_ND",0.09,"0",0.63,-0.00265459167437562
"29",29,"C1_ND_26C",246.262183061101,-0.00506984703137147,25.8416769230769,"6/22/22",1,10,"Caul",26,2023-02-25 12:02:42,2023-02-25 12:19:02,"Nutrient","Dark","C1_ND",0.09,"0",0.63,-0.00319400362976403
"30",30,"C1_ND_28C",231.986623817627,-0.00756388191124441,27.8905510204082,"6/22/22",1,10,"Caul",28,2023-02-25 12:44:17,2023-02-25 12:56:43,"Nutrient","Dark","C1_ND",0.09,"0",0.63,-0.00476524560408398
"31",31,"C1_ND_30C",235.368054520918,-0.00846072874493922,29.8105102040816,"6/22/22",1,10,"Caul",30,2023-02-25 13:22:10,2023-02-25 13:34:34,"Nutrient","Dark","C1_ND",0.09,"0",0.63,-0.00533025910931171
"32",32,"C1_ND_32C",210.407074117647,-0.0100447058823529,31.8027647058824,"6/22/22",1,10,"Caul",32,2023-02-25 14:09:38,2023-02-25 14:14:00,"Nutrient","Dark","C1_ND",0.09,"0",0.63,-0.00632816470588233
"33",33,"C1_ND_34C",196.933598555212,-0.010890952872377,33.887380952381,"6/22/22",1,10,"Caul",34,2023-02-25 14:50:48,2023-02-25 14:56:16,"Nutrient","Dark","C1_ND",0.09,"0",0.63,-0.00686130030959751
"34",34,"C1_ND_36C",187.252962162162,-0.0117544807965859,36.0333333333333,"6/22/22",1,10,"Caul",36,2023-02-25 15:26:56,2023-02-25 15:38:21,"Nutrient","Dark","C1_ND",0.09,"0",0.63,-0.00740532290184912
"35",35,"C1_ND_39C",147.273628111658,-0.0133276190476191,38.91940625,"6/22/22",1,10,"Caul",39,2023-02-25 16:35:39,2023-02-25 16:43:54,"Nutrient","Dark","C1_ND",0.09,"0",0.63,-0.00839640000000003
"36",36,"C1_ND_42C",136.257322314062,-0.010450588678109,41.891375,"6/22/22",1,10,"Caul",42,2023-02-25 17:17:28,2023-02-25 17:49:48,"Nutrient","Dark","C1_ND",0.09,"0",0.63,-0.00658387086720867
"37",37,"C1_NL_16C",290.940968247938,0.0036153025039802,16.2296153846154,"6/23/22",1,12,"Caul",16,2023-02-25 07:22:57,2023-02-25 07:36:09,"Nutrient","Light","C1_NL",0.1,"0",0.668,0.00241502207265877
"38",38,"C1_NL_20C",274.845652149401,0.00449478505990137,19.9062941176471,"6/23/22",1,12,"Caul",20,2023-02-25 08:12:27,2023-02-25 08:25:14,"Nutrient","Light","C1_NL",0.1,"0",0.668,0.00300251642001412
"39",39,"C1_NL_22C",271.055603519164,0.00567940766550511,21.9788076923077,"6/23/22",1,12,"Caul",22,2023-02-25 08:50:04,2023-02-25 09:03:08,"Nutrient","Light","C1_NL",0.1,"0",0.668,0.00379384432055741
"40",40,"C1_NL_24C",260.539536193087,0.00617062839326994,23.9877272727273,"6/23/22",1,12,"Caul",24,2023-02-25 09:24:01,2023-02-25 09:37:56,"Nutrient","Light","C1_NL",0.1,"0",0.668,0.00412197976670432
"41",41,"C1_NL_26C",253.317081104357,0.00885001809234344,25.8000384615385,"6/23/22",1,12,"Caul",26,2023-02-25 09:58:27,2023-02-25 10:11:38,"Nutrient","Light","C1_NL",0.1,"0",0.668,0.00591181208568542
"42",42,"C1_NL_28C",246.230788439619,0.00666295546011937,27.9695714285714,"6/23/22",1,12,"Caul",28,2023-02-25 10:33:18,2023-02-25 10:47:24,"Nutrient","Light","C1_NL",0.1,"0",0.668,0.00445085424735974
"43",43,"C1_NL_30C",231.748142405762,0.00858230012004795,29.8532156862745,"6/23/22",1,12,"Caul",30,2023-02-25 11:11:11,2023-02-25 11:23:59,"Nutrient","Light","C1_NL",0.1,"0",0.668,0.00573297648019203
"44",44,"C1_NL_32C",227.910898550725,0.00679710144927513,31.79924,"6/23/22",1,12,"Caul",32,2023-02-25 11:55:01,2023-02-25 12:01:18,"Nutrient","Light","C1_NL",0.1,"0",0.668,0.00454046376811579
"45",45,"C1_NL_34C",216.847605774019,0.00250634719285872,34.03175,"6/23/22",1,12,"Caul",34,2023-02-25 12:32:53,2023-02-25 12:45:05,"Nutrient","Light","C1_NL",0.1,"0",0.668,0.00167423992482962
"46",46,"C1_NL_36C",188.758613181439,0.00172466240622397,35.9822888888889,"6/23/22",1,12,"Caul",36,2023-02-25 13:05:39,2023-02-25 13:28:25,"Nutrient","Light","C1_NL",0.1,"0",0.668,0.00115207448735761
"47",47,"C1_NL_39C",153.05456952381,-0.00753142857142962,39.378,"6/23/22",1,12,"Caul",39,2023-02-25 14:23:36,2023-02-25 14:26:02,"Nutrient","Light","C1_NL",0.1,"0",0.668,-0.00503099428571499
"48",48,"C1_NL_42C",139.13937541502,-0.0090129205094423,42.0777083333333,"6/23/22",1,12,"Caul",42,2023-02-25 14:54:01,2023-02-25 15:06:21,"Nutrient","Light","C1_NL",0.1,"0",0.668,-0.00602063090030746
"49",49,"C10_AD_16C",228.730907401361,-0.00151556462585041,16.1930357142857,"6/21/22",10,9,"Caul",16,2023-02-25 13:24:02,2023-02-25 13:38:18,"Ambient","Dark","C10_AD",0.144,"0",0.63,-0.000954805714285758
"50",50,"C10_AD_20C",250.357277995404,-0.00179063354852825,19.71598,"6/21/22",10,9,"Caul",20,2023-02-25 14:14:14,2023-02-25 14:26:48,"Ambient","Dark","C10_AD",0.144,"0",0.63,-0.0011280991355728
"51",51,"C10_AD_22C",244.129359466543,-0.00340467930928154,21.9680526315789,"6/21/22",10,9,"Caul",22,2023-02-25 14:53:19,2023-02-25 15:07:38,"Ambient","Dark","C10_AD",0.144,"0",0.63,-0.00214494796484737
"52",52,"C10_AD_24C",235.316778969093,-0.00338996275042782,23.83452,"6/21/22",10,9,"Caul",24,2023-02-25 15:28:59,2023-02-25 15:41:45,"Ambient","Dark","C10_AD",0.144,"0",0.63,-0.00213567653276953
"53",53,"C10_AD_26C",229.742871265551,-0.00497336765336763,25.8489459459459,"6/21/22",10,9,"Caul",26,2023-02-25 16:04:37,2023-02-25 16:13:56,"Ambient","Dark","C10_AD",0.144,"0",0.63,-0.00313322162162161
"54",54,"C10_AD_28C",221.703449336899,-0.00585816384409689,27.7947959183673,"6/21/22",10,9,"Caul",28,2023-02-25 16:28:49,2023-02-25 16:41:16,"Ambient","Dark","C10_AD",0.144,"0",0.63,-0.00369064322178104
"55",55,"C10_AD_30C",206.524232711916,-0.00631340573152347,29.8773529411765,"6/21/22",10,9,"Caul",30,2023-02-25 17:05:18,2023-02-25 17:18:10,"Ambient","Dark","C10_AD",0.144,"0",0.63,-0.00397744561085979
"56",56,"C10_AD_32C",194.466888809524,-0.00772690476190469,31.7443529411765,"6/21/22",10,9,"Caul",32,2023-02-25 17:43:06,2023-02-25 17:47:36,"Ambient","Dark","C10_AD",0.144,"0",0.63,-0.00486794999999996
"57",57,"C10_AD_34C",190.234807878788,-0.0120442424242424,33.8060714285714,"6/21/22",10,9,"Caul",34,2023-02-25 18:52:06,2023-02-25 18:55:45,"Ambient","Dark","C10_AD",0.144,"0",0.63,-0.00758787272727271
"58",58,"C10_AD_36C",182.088412069892,-0.0124838440860215,35.8831944444444,"6/21/22",10,9,"Caul",36,2023-02-25 19:19:34,2023-02-25 19:28:48,"Ambient","Dark","C10_AD",0.144,"0",0.63,-0.00786482177419355
"59",59,"C10_AD_39C",150.236546734425,-0.0155049501223414,39.0063103448276,"6/21/22",10,9,"Caul",39,2023-02-25 20:20:47,2023-02-25 20:28:15,"Ambient","Dark","C10_AD",0.144,"0",0.63,-0.00976811857707508
"60",60,"C10_AD_42C",117.273762105263,-0.0178305263157896,42.0271785714286,"6/21/22",10,9,"Caul",42,2023-02-25 21:23:30,2023-02-25 21:30:43,"Ambient","Dark","C10_AD",0.144,"0",0.63,-0.0112332315789474
"61",61,"C10_AL_16C",204.552682062561,0.000722079667644263,16.5217894736842,"6/23/22",10,11,"Caul",16,2023-02-25 16:31:44,2023-02-25 16:41:19,"Ambient","Light","C10_AL",0.029,"0",0.679,0.000490292094330455
"62",62,"C10_AL_20C",216.991773306343,0.00133013495276649,20.2371632653061,"6/23/22",10,11,"Caul",20,2023-02-25 17:12:41,2023-02-25 17:25:13,"Ambient","Light","C10_AL",0.029,"0",0.679,0.000903161632928447
"63",63,"C10_AL_22C",214.711569190476,0.00131917687074831,21.7898076923077,"6/23/22",10,11,"Caul",22,2023-02-25 17:45:30,2023-02-25 17:58:44,"Ambient","Light","C10_AL",0.029,"0",0.679,0.000895721095238103
"64",64,"C10_AL_24C",212.466876378636,0.000997734838616333,23.9248431372549,"6/23/22",10,11,"Caul",24,2023-02-25 18:18:19,2023-02-25 18:31:23,"Ambient","Light","C10_AL",0.029,"0",0.679,0.00067746195542049
"65",65,"C10_AL_26C",208.904741789993,0.000718644920970448,25.9696530612245,"6/23/22",10,11,"Caul",26,2023-02-25 18:48:36,2023-02-25 19:01:15,"Ambient","Light","C10_AL",0.029,"0",0.679,0.000487959901338934
"66",66,"C10_AL_28C",202.926247692308,0.000881794871794946,28.1844375,"6/23/22",10,11,"Caul",28,2023-02-25 19:25:26,2023-02-25 19:37:41,"Ambient","Light","C10_AL",0.029,"0",0.679,0.000598738717948768
"67",67,"C10_AL_30C",193.83082606383,-0.00114521276595747,29.8480980392157,"6/23/22",10,11,"Caul",30,2023-02-25 20:00:55,2023-02-25 20:14:05,"Ambient","Light","C10_AL",0.029,"0",0.679,-0.000777599468085122
"68",68,"C10_AL_32C",186.703599782806,-0.00136147209653099,32.0639215686274,"6/23/22",10,11,"Caul",32,2023-02-25 20:31:44,2023-02-25 20:44:38,"Ambient","Light","C10_AL",0.029,"0",0.679,-0.000924439553544542
"69",69,"C10_AL_34C",175.846930543168,-0.00277331046312178,34.2255166666667,"6/23/22",10,11,"Caul",34,2023-02-25 21:03:31,2023-02-25 21:18:42,"Ambient","Light","C10_AL",0.029,"0",0.679,-0.00188307780445969
"70",70,"C10_AL_36C",158.748851322751,-0.00835396825396829,35.963,"6/23/22",10,11,"Caul",36,2023-02-25 21:45:58,2023-02-25 21:54:06,"Ambient","Light","C10_AL",0.029,"0",0.679,-0.00567234444444447
"71",71,"C10_AL_39C",141.765982392027,-0.0092620658411356,38.9600363636364,"6/23/22",10,11,"Caul",39,2023-02-25 22:15:12,2023-02-25 22:29:04,"Ambient","Light","C10_AL",0.029,"0",0.679,-0.00628894270613107
"72",72,"C10_AL_42C",102.377437130248,-0.0077278622752308,41.9905636363636,"6/23/22",10,11,"Caul",42,2023-02-25 22:50:15,2023-02-25 23:04:08,"Ambient","Light","C10_AL",0.029,"0",0.679,-0.00524721848488171
"73",73,"C10_ND_16C",250.429140418212,-0.00133941837338061,16.1107454545455,"6/22/22",10,10,"Caul",16,2023-02-25 08:59:04,2023-02-25 09:13:03,"Nutrient","Dark","C10_ND",0.038,"0",0.647,-0.000866603687577255
"74",74,"C10_ND_20C",241.885588923836,-0.00197153253160656,19.8436833333333,"6/22/22",10,10,"Caul",20,2023-02-25 09:55:57,2023-02-25 10:11:07,"Nutrient","Dark","C10_ND",0.038,"0",0.647,-0.00127558154794944
"75",75,"C10_ND_22C",235.200495188948,-0.00241770144600338,21.9079649122807,"6/22/22",10,10,"Caul",22,2023-02-25 10:31:16,2023-02-25 10:45:39,"Nutrient","Dark","C10_ND",0.038,"0",0.647,-0.00156425283556419
"76",76,"C10_ND_24C",229.665829405879,-0.00314244527829891,23.807875,"6/22/22",10,10,"Caul",24,2023-02-25 11:04:56,2023-02-25 11:17:12,"Nutrient","Dark","C10_ND",0.038,"0",0.647,-0.0020331620950594
"77",77,"C10_ND_26C",216.002672701465,-0.0030923443223443,25.8403230769231,"6/22/22",10,10,"Caul",26,2023-02-25 12:03:06,2023-02-25 12:19:32,"Nutrient","Dark","C10_ND",0.038,"0",0.647,-0.00200074677655676
"78",78,"C10_ND_28C",201.096959863248,-0.00524909401709395,27.8668275862069,"6/22/22",10,10,"Caul",28,2023-02-25 12:49:48,2023-02-25 12:57:06,"Nutrient","Dark","C10_ND",0.038,"0",0.647,-0.00339616382905979
"79",79,"C10_ND_30C",205.185127109567,-0.00528047836155749,29.9087755102041,"6/22/22",10,10,"Caul",30,2023-02-25 13:22:33,2023-02-25 13:34:58,"Nutrient","Dark","C10_ND",0.038,"0",0.647,-0.0034164694999277
"80",80,"C10_ND_32C",185.568554586466,-0.00753503759398482,31.8736071428571,"6/22/22",10,10,"Caul",32,2023-02-25 14:07:19,2023-02-25 14:14:22,"Nutrient","Dark","C10_ND",0.038,"0",0.647,-0.00487516932330818
"81",81,"C10_ND_34C",173.944546,-0.00738121739130449,33.9275555555556,"6/22/22",10,10,"Caul",34,2023-02-25 14:49:44,2023-02-25 14:56:38,"Nutrient","Dark","C10_ND",0.038,"0",0.647,-0.00477564765217401
"82",82,"C10_ND_36C",164.186453896185,-0.00809808005003129,36.00222,"6/22/22",10,10,"Caul",36,2023-02-25 15:24:16,2023-02-25 15:36:53,"Nutrient","Dark","C10_ND",0.038,"0",0.647,-0.00523945779237025
"83",83,"C10_ND_39C",136.922728298368,-0.00591326340326336,38.844552,"6/22/22",10,10,"Caul",39,2023-02-25 16:12:20,2023-02-25 16:43:54,"Nutrient","Dark","C10_ND",0.038,"0",0.647,-0.00382588142191139
"84",84,"C10_ND_42C",99.3292293040293,-0.013141391941392,41.89596,"6/22/22",10,10,"Caul",42,2023-02-25 17:45:48,2023-02-25 17:52:28,"Nutrient","Dark","C10_ND",0.038,"0",0.647,-0.00850248058608062
"85",85,"C10Blank_NL_16C",250.136971158093,0.00021453605825694,16.2743269230769,"6/23/22",10,12,"Caul",16,2023-02-25 07:23:24,2023-02-25 07:36:31,"Nutrient","Light","C10_NL",0,"1",0.68,0.000145884519614719
"86",86,"C10Blank_NL_20C",240.034749915966,1.47899159663343e-05,20.00448,"6/23/22",10,12,"Caul",20,2023-02-25 08:12:53,2023-02-25 08:25:36,"Nutrient","Light","C10_NL",0,"1",0.68,1.00571428571073e-05
"87",87,"C10Blank_NL_22C",235.887508330206,-0.000141819887429688,21.8930961538462,"6/23/22",10,12,"Caul",22,2023-02-25 08:50:23,2023-02-25 09:03:30,"Nutrient","Light","C10_NL",0,"1",0.68,-9.64375234521879e-05
"88",88,"C10Blank_NL_24C",228.049766961078,-0.000676179672095841,24.0852407407407,"6/23/22",10,12,"Caul",24,2023-02-25 09:24:33,2023-02-25 09:38:16,"Nutrient","Light","C10_NL",0,"1",0.68,-0.000459802177025172
"89",89,"C10Blank_NL_26C",221.224874302689,-0.00133696685428394,25.8681538461538,"6/23/22",10,12,"Caul",26,2023-02-25 09:58:59,2023-02-25 10:12:05,"Nutrient","Light","C10_NL",0,"1",0.68,-0.000909137460913079
"90",90,"C10Blank_NL_28C",215.482972973658,-0.00198107902735562,28.0742727272727,"6/23/22",10,12,"Caul",28,2023-02-25 10:34:04,2023-02-25 10:47:54,"Nutrient","Light","C10_NL",0,"1",0.68,-0.00134713373860182
"91",91,"C10Blank_NL_30C",202.117102075355,-0.00176068132910241,29.8368235294118,"6/23/22",10,12,"Caul",30,2023-02-25 11:11:33,2023-02-25 11:24:22,"Nutrient","Light","C10_NL",0,"1",0.68,-0.00119726330378964
"92",92,"C10Blank_NL_32C",194.603293424502,-0.00415803988603994,31.8508666666667,"6/23/22",10,12,"Caul",32,2023-02-25 11:50:32,2023-02-25 12:01:54,"Nutrient","Light","C10_NL",0,"1",0.68,-0.00282746712250716
"93",93,"C10Blank_NL_34C",183.20837630394,-0.00580801125703562,34.0564634146341,"6/23/22",10,12,"Caul",34,2023-02-25 12:35:07,2023-02-25 12:45:37,"Nutrient","Light","C10_NL",0,"1",0.68,-0.00394944765478422
"94",94,"C10Blank_NL_36C",158.369682326446,-0.00260524563156144,36.0229325842697,"6/23/22",10,12,"Caul",36,2023-02-25 13:06:26,2023-02-25 13:29:05,"Nutrient","Light","C10_NL",0,"1",0.68,-0.00177156702946178
"95",95,"C10Blank_NL_39C",126.055053333333,-0.000969122807017441,39.58496,"6/23/22",10,12,"Caul",39,2023-02-25 14:19:55,2023-02-25 14:26:28,"Nutrient","Light","C10_NL",0,"1",0.68,-0.00065900350877186
"96",96,"C10Blank_NL_42C",107.064457709402,-0.00763719658119655,41.9052413793103,"6/23/22",10,12,"Caul",42,2023-02-25 15:04:40,2023-02-25 15:12:13,"Nutrient","Light","C10_NL",0,"1",0.68,-0.00519329367521365
"97",97,"C2_AD_16C",247.501654853295,-0.00102859066859069,16.2669464285714,"6/21/22",2,9,"Caul",16,2023-02-25 13:23:46,2023-02-25 13:37:56,"Ambient","Dark","C2_AD",0.1,"0",0.658,-0.000676812659932674
"98",98,"C2_AD_20C",269.711884210526,-0.00147665317139002,19.8196862745098,"6/21/22",2,9,"Caul",20,2023-02-25 14:13:32,2023-02-25 14:26:21,"Ambient","Dark","C2_AD",0.1,"0",0.658,-0.000971637786774633
"99",99,"C2_AD_22C",264.926931438914,-0.00238208748114636,21.9663090909091,"6/21/22",2,9,"Caul",22,2023-02-25 14:53:24,2023-02-25 15:07:17,"Ambient","Dark","C2_AD",0.1,"0",0.658,-0.0015674135625943
"100",100,"C2_AD_24C",254.897937711995,-0.00316204131976564,23.9693137254902,"6/21/22",2,9,"Caul",24,2023-02-25 15:28:30,2023-02-25 15:41:21,"Ambient","Dark","C2_AD",0.1,"0",0.658,-0.00208062318840579
"101",101,"C2_AD_26C",249.700640493305,-0.00430687808315718,26.01282,"6/21/22",2,9,"Caul",26,2023-02-25 16:00:49,2023-02-25 16:13:34,"Ambient","Dark","C2_AD",0.1,"0",0.658,-0.00283392577871742
"102",102,"C2_AD_28C",241.536654516129,-0.00513435483870979,28.0102857142857,"6/21/22",2,9,"Caul",28,2023-02-25 16:28:27,2023-02-25 16:40:53,"Ambient","Dark","C2_AD",0.1,"0",0.658,-0.00337840548387104
"103",103,"C2_AD_30C",222.470107520526,-0.00535481116584576,29.8664473684211,"6/21/22",2,9,"Caul",30,2023-02-25 17:08:06,2023-02-25 17:17:45,"Ambient","Dark","C2_AD",0.1,"0",0.658,-0.00352346574712651
"104",104,"C2_AD_32C",214.861043464388,-0.00611184045584047,31.8416176470588,"6/21/22",2,9,"Caul",32,2023-02-25 17:38:30,2023-02-25 17:47:09,"Ambient","Dark","C2_AD",0.1,"0",0.658,-0.00402159101994303
"105",105,"C2_AD_34C",212.911849604403,-0.0102008255933953,33.8888148148148,"6/21/22",2,9,"Caul",34,2023-02-25 18:48:20,2023-02-25 18:55:20,"Ambient","Dark","C2_AD",0.1,"0",0.658,-0.00671214324045411
"106",106,"C2_AD_36C",203.081697458304,-0.00935806436457601,35.9726458333333,"6/21/22",2,9,"Caul",36,2023-02-25 19:19:10,2023-02-25 19:31:27,"Ambient","Dark","C2_AD",0.1,"0",0.658,-0.00615760635189101
"107",107,"C2_AD_39C",171.015093921569,-0.0170718627450981,38.877125,"6/21/22",2,9,"Caul",39,2023-02-25 20:23:29,2023-02-25 20:27:46,"Ambient","Dark","C2_AD",0.1,"0",0.658,-0.0112332856862746
"108",108,"C2_AD_42C",143.863775954416,-0.0162597150997152,41.9925714285714,"6/21/22",2,9,"Caul",42,2023-02-25 21:15:46,2023-02-25 21:24:41,"Ambient","Dark","C2_AD",0.1,"0",0.658,-0.0106988925356126
"109",109,"C2_ND_16C",273.630063327616,-0.00171719966965256,16.1658727272727,"6/22/22",2,10,"Caul",16,2023-02-25 08:58:43,2023-02-25 09:12:43,"Nutrient","Dark","C2_ND",0.05,"0",0.653,-0.00112133138428312
"110",110,"C2_ND_20C",262.897824735404,-0.00249332062766018,19.9645967741935,"6/22/22",2,10,"Caul",20,2023-02-25 09:55:37,2023-02-25 10:11:12,"Nutrient","Dark","C2_ND",0.05,"0",0.653,-0.0016281383698621
"111",111,"C2_ND_22C",254.643625671386,-0.00314729300729293,21.9845964912281,"6/22/22",2,10,"Caul",22,2023-02-25 10:30:50,2023-02-25 10:45:19,"Nutrient","Dark","C2_ND",0.05,"0",0.653,-0.00205518233376228
"112",112,"C2_ND_24C",248.328004162812,-0.0040839500462535,23.8152083333333,"6/22/22",2,10,"Caul",24,2023-02-25 11:04:38,2023-02-25 11:16:52,"Nutrient","Dark","C2_ND",0.05,"0",0.653,-0.00266681938020354
"113",113,"C2_ND_26C",233.48691618157,-0.0045984726280928,25.9283384615385,"6/22/22",2,10,"Caul",26,2023-02-25 12:02:44,2023-02-25 12:19:05,"Nutrient","Dark","C2_ND",0.05,"0",0.653,-0.0030028026261446
"114",114,"C2_ND_28C",220.804387825038,-0.00512517043740571,28.0225925925926,"6/22/22",2,10,"Caul",28,2023-02-25 12:43:09,2023-02-25 12:56:46,"Nutrient","Dark","C2_ND",0.05,"0",0.653,-0.00334673629562593
